"Taxon","Database","Reference","Country","Population","Scarification","Stratification","GA3","Tmean","Alternating","Light","Germinated","Germinable"
"Arrhenatherum elatius","Enscobase","PAVIA","Italy","PAV_8PV",0,0,0,20,0,1,50,50
"Arrhenatherum elatius","Enscobase","RBGK","Italy","K_6208",0,0,0,20,0,1,18,20
"Arrhenatherum elatius","Enscobase","RBGK","Italy","K_6208",0,0,0,21,0,1,112,120
"Arrhenatherum elatius","Enscobase","RBGK","UK","K_52010",0,0,0,15,0,1,43,47
"Arrhenatherum elatius","Enscobase","RBGK","UK","K_52010",0,0,0,16,0,1,96,100
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","France","SOS200",0,0,0,17,1,1,46,73
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","France","SOS200",0,0,1,17,1,1,44,61
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Portugal","SOS167",0,0,0,17,1,1,79,91
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Portugal","SOS167",0,0,1,17,1,1,87,97
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,9,1,1,32,78
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,17,1,1,60,78
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,0,25,1,1,69,81
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,9,1,1,31,73
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,17,1,1,67,81
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS153",0,0,1,25,1,1,70,78
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,9,1,1,74,99
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,17,1,1,15,17
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,0,25,1,1,61,90
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,9,1,1,73,96
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,17,1,1,19,21
"Arrhenatherum elatius","SOSPRADERAS","SOSPRADERAS","Spain","SOS229",0,0,1,25,1,1,68,96
"Avenula pubescens","Enscobase","RBGK","UK","K_65160",0,0,0,16,0,1,36,38
"Briza media","Enscobase","BGBM","Austria","B_AT-3002401",0,0,0,22,0,1,7,20
"Briza media","Enscobase","RBGK","Greece","K_30818",0,0,0,20,0,1,20,20
"Briza media","Enscobase","RBGK","Greece","K_30818",0,0,0,21,0,1,109,120
"Briza media","Enscobase","RBGK","Italy","K_6356",0,0,0,15,1,1,15,20
"Briza media","Enscobase","RBGK","Italy","K_6356",0,0,0,16,1,1,18,18
"Briza media","Enscobase","RBGK","Italy","K_6356",0,0,0,21,0,1,84,100
"Briza media","Enscobase","RBGK","UK","K_127532",0,0,0,16,1,1,45,50
"Briza media","Enscobase","RBGK","UK","K_33794",0,0,0,13.33333333,1,1,14,20
"Briza media","Enscobase","RBGK","UK","K_33794",0,0,0,20,0,1,15,20
"Briza media","Enscobase","RBGK","UK","K_402822",0,0,0,15,1,1,12,20
"Briza media","Enscobase","RBGK","UK","K_402822",0,0,0,20,0,1,10,20
"Briza media","Enscobase","RBGK","UK","K_8833",0,0,0,21,0,1,90,93
"Briza media","Enscobase","RBGK","UK","K_8833",1,0,0,20,0,1,48,50
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_35042",0,0,0,20,0,1,19,20
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_35042",0,0,0,21,0,1,194,200
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_35156",0,0,0,20,0,1,20,20
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_35156",0,0,0,21,0,1,118,120
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_36773",0,0,0,20,0,1,42,44
"Bromus hordeaceus","Enscobase","RBGK","Greece","K_36773",0,0,0,21,0,1,137,145
"Bromus hordeaceus","Enscobase","RBGK","Italy","K_5452",0,0,0,20,0,1,50,50
"Bromus hordeaceus","Enscobase","RBGK","Italy","K_5452",0,0,0,21,0,1,144,150
"Bromus hordeaceus","Enscobase","RBGK","Italy","K_6242",0,0,0,20,0,1,20,20
